x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,lAbel,label
0.0,0.0,0.517857,0.214286,0.875,0.657143,0.946429,1.042857,1.089286,1.314286,0.464286,1.0,0.5,1.242857,0.446429,0.914286,0.410714,0.642857,0.107143,0.985714,0.125,1.242857,0.125,0.871429,0.107143,0.585714,-0.214286,0.928571,-0.214286,1.185714,-0.160714,0.828571,-0.125,0.557143,-0.535714,0.842857,-0.535714,1.085714,-0.446429,0.828571,-0.375,0.614286,A,
0.0,0.0,0.459016,0.2,0.770492,0.671429,0.819672,1.057143,0.95082,1.342857,0.409836,1.0,0.442623,1.228571,0.393443,0.914286,0.344262,0.628571,0.065574,1.0,0.114754,1.242857,0.065574,0.842857,0.065574,0.528571,-0.262295,0.942857,-0.229508,1.185714,-0.196721,0.785714,-0.163934,0.5,-0.590164,0.857143,-0.540984,1.085714,-0.459016,0.8,-0.393443,0.585714,A,
0.0,0.0,0.459016,0.236111,0.754098,0.694444,0.803279,1.069444,0.95082,1.333333,0.377049,1.0,0.42623,1.222222,0.393443,0.902778,0.360656,0.611111,0.032787,0.972222,0.081967,1.208333,0.081967,0.819444,0.081967,0.513889,-0.295082,0.916667,-0.245902,1.166667,-0.196721,0.777778,-0.147541,0.486111,-0.622951,0.819444,-0.57377,1.055556,-0.47541,0.791667,-0.409836,0.569444,A,
0.0,0.0,0.474576,0.253521,0.762712,0.71831,0.779661,1.098592,0.898305,1.380282,0.338983,1.0,0.372881,1.253521,0.322034,0.915493,0.305085,0.619718,-0.016949,0.971831,0.0,1.225352,0.0,0.816901,0.033898,0.535211,-0.338983,0.915493,-0.322034,1.169014,-0.271186,0.774648,-0.220339,0.492958,-0.661017,0.816901,-0.644068,1.070423,-0.559322,0.802817,-0.508475,0.591549,A,
0.0,0.0,0.444444,0.266667,0.714286,0.746667,0.730159,1.133333,0.857143,1.413333,0.31746,1.0,0.333333,1.24,0.285714,0.92,0.269841,0.64,-0.031746,0.96,-0.015873,1.226667,-0.015873,0.84,0.0,0.546667,-0.349206,0.906667,-0.333333,1.146667,-0.285714,0.773333,-0.222222,0.493333,-0.68254,0.8,-0.650794,1.04,-0.555556,0.786667,-0.492063,0.586667,A,
0.0,0.0,0.45,0.253333,0.733333,0.72,0.733333,1.12,0.833333,1.4,0.3,1.0,0.316667,1.24,0.3,0.92,0.3,0.64,-0.05,0.96,-0.05,1.213333,-0.033333,0.813333,0.016667,0.533333,-0.383333,0.893333,-0.383333,1.133333,-0.3,0.746667,-0.233333,0.48,-0.7,0.773333,-0.7,1.026667,-0.6,0.76,-0.516667,0.56,A,
0.0,0.0,0.508772,0.220588,0.842105,0.691176,0.877193,1.088235,1.035088,1.367647,0.491228,1.0,0.508772,1.264706,0.438596,0.955882,0.385965,0.661765,0.157895,1.0,0.157895,1.264706,0.105263,0.882353,0.122807,0.588235,-0.175439,0.970588,-0.175439,1.205882,-0.157895,0.823529,-0.122807,0.544118,-0.508772,0.882353,-0.473684,1.117647,-0.421053,0.852941,-0.350877,0.647059,A,
0.0,0.0,0.509804,0.223881,0.901961,0.671642,0.941176,1.074627,1.078431,1.373134,0.509804,1.0,0.470588,1.208955,0.431373,0.880597,0.411765,0.626866,0.156863,1.0,0.078431,1.208955,0.078431,0.835821,0.098039,0.58209,-0.176471,0.955224,-0.27451,1.134328,-0.215686,0.776119,-0.117647,0.552239,-0.490196,0.865672,-0.54902,1.029851,-0.45098,0.761194,-0.352941,0.58209,A,
0.0,0.0,0.5,0.225806,0.854167,0.693548,0.875,1.112903,1.041667,1.419355,0.479167,1.0,0.416667,1.258065,0.354167,0.935484,0.333333,0.66129,0.104167,0.983871,0.0625,1.209677,0.041667,0.83871,0.041667,0.564516,-0.208333,0.935484,-0.270833,1.193548,-0.229167,0.822581,-0.1875,0.548387,-0.520833,0.854839,-0.541667,1.096774,-0.5,0.83871,-0.416667,0.612903,A,
0.0,0.0,0.52,0.238806,0.84,0.656716,0.9,1.044776,1.06,1.313433,0.42,1.0,0.44,1.149254,0.42,0.850746,0.4,0.641791,0.04,1.0,0.06,1.104478,0.08,0.776119,0.12,0.552239,-0.28,0.955224,-0.28,1.044776,-0.2,0.746269,-0.14,0.537313,-0.58,0.865672,-0.58,0.985075,-0.48,0.746269,-0.4,0.567164,A,
0.0,0.0,0.514706,0.25,0.926471,0.666667,1.029412,1.069444,1.147059,1.361111,0.588235,1.0,0.647059,1.347222,0.602941,1.055556,0.573529,0.777778,0.235294,1.027778,0.279412,1.388889,0.264706,1.0,0.25,0.708333,-0.088235,1.027778,-0.058824,1.347222,-0.044118,0.958333,-0.029412,0.680556,-0.411765,0.972222,-0.367647,1.25,-0.323529,0.944444,-0.308824,0.708333,A,
0.0,0.0,0.454545,0.284404,0.772727,0.678899,0.795455,1.018349,0.840909,1.293578,0.352273,1.0,0.352273,1.229358,0.375,0.944954,0.375,0.697248,0.0,0.972477,-0.011364,1.238532,0.045455,0.880734,0.090909,0.614679,-0.329545,0.917431,-0.340909,1.165138,-0.238636,0.816514,-0.181818,0.559633,-0.647727,0.816514,-0.636364,1.045872,-0.511364,0.779817,-0.454545,0.577982,A,
0.0,0.0,0.44898,0.25,0.755102,0.71875,0.744898,1.125,0.806122,1.429688,0.336735,1.0,0.27551,1.242188,0.234694,0.921875,0.22449,0.65625,-0.030612,0.960938,-0.102041,1.210938,-0.102041,0.828125,-0.061224,0.554688,-0.357143,0.898438,-0.44898,1.117188,-0.377551,0.75,-0.285714,0.5,-0.663265,0.796875,-0.734694,1.023438,-0.622449,0.765625,-0.520408,0.570312,A,
0.0,0.0,0.5,0.2,0.918605,0.643478,1.0,1.069565,1.104651,1.4,0.546512,1.0,0.476744,1.243478,0.348837,0.93913,0.267442,0.66087,0.186047,1.0,0.093023,1.208696,0.0,0.843478,-0.023256,0.547826,-0.139535,0.965217,-0.267442,1.165217,-0.267442,0.826087,-0.22093,0.556522,-0.453488,0.904348,-0.546512,1.086957,-0.5,0.834783,-0.406977,0.643478,A,
0.0,0.0,0.454545,0.231481,0.727273,0.694444,0.738636,1.064815,0.840909,1.333333,0.386364,1.0,0.431818,1.185185,0.409091,0.888889,0.375,0.62037,0.045455,0.981481,0.102273,1.212963,0.113636,0.842593,0.113636,0.527778,-0.284091,0.935185,-0.238636,1.157407,-0.159091,0.787037,-0.113636,0.490741,-0.613636,0.851852,-0.545455,1.064815,-0.431818,0.814815,-0.363636,0.592593,A,
0.0,0.0,0.473684,0.211111,0.776316,0.655556,0.842105,1.033333,0.973684,1.311111,0.460526,1.0,0.539474,1.2,0.486842,0.888889,0.421053,0.6,0.131579,1.0,0.223684,1.222222,0.184211,0.844444,0.157895,0.522222,-0.197368,0.966667,-0.118421,1.177778,-0.078947,0.8,-0.065789,0.488889,-0.539474,0.9,-0.434211,1.111111,-0.342105,0.844444,-0.302632,0.622222,A,
