h0x0,h0y0,h0x1,h0y1,h0x2,h0y2,h0x3,h0y3,h0x4,h0y4,h0x5,h0y5,h0x6,h0y6,h0x7,h0y7,h0x8,h0y8,h0x9,h0y9,h0x10,h0y10,h0x11,h0y11,h0x12,h0y12,h0x13,h0y13,h0x14,h0y14,h0x15,h0y15,h0x16,h0y16,h0x17,h0y17,h0x18,h0y18,h0x19,h0y19,h0x20,h0y20,h1x0,h1y0,h1x1,h1y1,h1x2,h1y2,h1x3,h1y3,h1x4,h1y4,h1x5,h1y5,h1x6,h1y6,h1x7,h1y7,h1x8,h1y8,h1x9,h1y9,h1x10,h1y10,h1x11,h1y11,h1x12,h1y12,h1x13,h1y13,h1x14,h1y14,h1x15,h1y15,h1x16,h1y16,h1x17,h1y17,h1x18,h1y18,h1x19,h1y19,h1x20,h1y20,dist_x,dist_y,label,clip_id
0.0,0.0,0.542553,0.024,1.148936,0.448,1.414894,0.832,1.414894,1.184,0.893617,1.0,1.148936,1.232,1.06383,0.872,0.957447,0.592,0.574468,1.032,0.893617,1.2,0.712766,0.712,0.531915,0.384,0.234043,1.032,0.531915,1.104,0.393617,0.632,0.234043,0.32,-0.106383,1.032,0.138298,1.472,0.308511,1.744,0.478723,1.984,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0
0.0,0.0,0.591398,0.088889,1.193548,0.503704,1.462366,0.859259,1.462366,1.192593,0.924731,1.0,1.204301,1.237037,1.107527,0.881481,0.989247,0.607407,0.602151,1.02963,0.935484,1.192593,0.752688,0.725926,0.591398,0.422222,0.268817,1.022222,0.55914,1.118519,0.419355,0.666667,0.268817,0.377778,-0.075269,1.022222,0.16129,1.42963,0.344086,1.681481,0.526882,1.911111,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0
0.0,0.0,0.630435,0.146853,1.23913,0.524476,1.48913,0.867133,1.445652,1.174825,0.934783,1.0,1.228261,1.230769,1.108696,0.867133,0.967391,0.601399,0.619565,1.013986,0.945652,1.202797,0.782609,0.762238,0.630435,0.468531,0.271739,1.013986,0.576087,1.097902,0.423913,0.671329,0.25,0.391608,-0.065217,1.006993,0.152174,1.398601,0.336957,1.622378,0.51087,1.832168,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0
0.0,0.0,0.639175,0.163265,1.185567,0.537415,1.412371,0.863946,1.350515,1.156463,0.948454,1.0,1.206186,1.197279,1.092784,0.85034,0.958763,0.605442,0.618557,1.013605,0.896907,1.163265,0.742268,0.741497,0.587629,0.469388,0.28866,1.006803,0.56701,1.07483,0.42268,0.659864,0.278351,0.387755,-0.051546,0.986395,0.154639,1.360544,0.309278,1.585034,0.484536,1.77551,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0
0.0,0.0,0.648936,0.141844,1.212766,0.510638,1.468085,0.843972,1.43617,1.156028,0.978723,1.0,1.255319,1.198582,1.138298,0.843972,0.989362,0.595745,0.659574,1.014184,0.93617,1.156028,0.765957,0.730496,0.595745,0.453901,0.319149,1.007092,0.617021,1.092199,0.457447,0.680851,0.287234,0.411348,-0.021277,1.0,0.191489,1.397163,0.37234,1.631206,0.553191,1.829787,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0
0.0,0.0,0.670455,0.141844,1.284091,0.531915,1.568182,0.87234,1.590909,1.198582,1.0,1.0,1.318182,1.22695,1.181818,0.87234,1.022727,0.609929,0.670455,1.021277,1.045455,1.205674,0.829545,0.758865,0.647727,0.460993,0.340909,1.028369,0.681818,1.120567,0.5,0.695035,0.306818,0.41844,0.0,1.035461,0.25,1.41844,0.454545,1.64539,0.670455,1.843972,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0
0.0,0.0,0.655556,0.135714,1.255556,0.521429,1.555556,0.857143,1.588889,1.178571,1.0,1.0,1.322222,1.25,1.188889,0.885714,1.033333,0.621429,0.677778,1.021429,1.033333,1.192857,0.844444,0.742857,0.655556,0.442857,0.344444,1.021429,0.655556,1.121429,0.5,0.685714,0.333333,0.392857,0.0,1.021429,0.233333,1.414286,0.422222,1.642857,0.6,1.85,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0
0.0,0.0,0.638298,0.152174,1.191489,0.543478,1.457447,0.884058,1.446809,1.202899,0.978723,1.0,1.297872,1.282609,1.159574,0.92029,1.0,0.652174,0.659574,1.014493,0.946809,1.210145,0.787234,0.746377,0.638298,0.463768,0.319149,1.007246,0.595745,1.123188,0.468085,0.666667,0.319149,0.376812,-0.021277,1.007246,0.202128,1.427536,0.37234,1.65942,0.542553,1.891304,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0
0.0,0.0,0.644444,0.165517,1.222222,0.551724,1.488889,0.889655,1.455556,1.193103,0.944444,1.0,1.266667,1.255172,1.122222,0.910345,0.977778,0.662069,0.622222,1.013793,0.933333,1.2,0.755556,0.758621,0.611111,0.482759,0.288889,1.006897,0.577778,1.124138,0.433333,0.689655,0.288889,0.406897,-0.055556,1.006897,0.155556,1.393103,0.311111,1.613793,0.477778,1.827586,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0
0.0,0.0,0.662921,0.185897,1.213483,0.544872,1.426966,0.865385,1.359551,1.141026,0.853933,1.0,1.168539,1.198718,1.05618,0.858974,0.910112,0.628205,0.516854,0.987179,0.831461,1.096154,0.685393,0.673077,0.539326,0.423077,0.191011,0.955128,0.449438,1.025641,0.348315,0.628205,0.224719,0.378205,-0.146067,0.910256,0.022472,1.282051,0.191011,1.49359,0.359551,1.685897,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0
0.0,0.0,0.55102,0.233333,0.979592,0.546667,1.102041,0.846667,0.989796,1.113333,0.632653,1.0,0.816327,1.226667,0.785714,0.926667,0.704082,0.673333,0.285714,0.98,0.5,1.026667,0.418367,0.64,0.326531,0.386667,-0.040816,0.92,0.153061,0.946667,0.112245,0.593333,0.061224,0.353333,-0.367347,0.833333,-0.295918,1.166667,-0.214286,1.353333,-0.122449,1.506667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0
0.0,0.0,0.463158,0.042553,0.905263,0.265957,1.010526,0.531915,0.821053,0.691489,0.747368,1.0,0.957895,1.021277,1.073684,0.702128,1.063158,0.37234,0.410526,1.106383,0.621053,0.808511,0.631579,0.255319,0.536842,-0.159574,0.063158,1.031915,0.305263,0.5,0.336842,-0.010638,0.284211,-0.351064,-0.252632,0.851064,0.052632,0.43617,0.105263,0.042553,0.073684,-0.212766,-0.06315789473684211,0.6808510638297872,0.0,0.0,0.568421,0.205128,1.010526,0.49359,1.157895,0.75641,1.010526,0.948718,0.642105,1.0,0.894737,1.044872,0.936842,0.801282,0.894737,0.615385,0.284211,1.00641,0.547368,0.916667,0.568421,0.647436,0.526316,0.448718,-0.052632,0.935897,0.242105,0.769231,0.252632,0.49359,0.221053,0.294872,-0.357895,0.807692,-0.115789,0.730769,-0.021053,0.538462,0.010526,0.378205,J,0
0.0,0.0,0.40625,0.122222,0.84375,0.255556,1.177083,0.277778,1.395833,0.2,0.770833,1.0,1.0625,0.7,1.177083,0.411111,1.208333,0.222222,0.40625,0.966667,0.875,0.366667,0.916667,0.0,0.864583,-0.155556,0.072917,0.744444,0.5625,0.011111,0.59375,-0.288889,0.541667,-0.377778,-0.229167,0.422222,0.208333,-0.144444,0.395833,-0.455556,0.479167,-0.622222,0.16666666666666666,0.7777777777777778,0.0,0.0,0.576923,0.127389,1.0,0.324841,1.182692,0.509554,1.096154,0.649682,0.701923,1.0,0.980769,0.757962,0.942308,0.55414,0.865385,0.515924,0.336538,0.987261,0.692308,0.605096,0.663462,0.394904,0.576923,0.363057,0.0,0.866242,0.375,0.471338,0.384615,0.292994,0.317308,0.273885,-0.298077,0.694268,0.038462,0.401274,0.192308,0.210191,0.288462,0.133758,J,0
0.0,0.0,0.656566,0.15,1.212121,0.307143,1.555556,0.385714,1.707071,0.378571,1.10101,1.0,1.494949,0.564286,1.393939,0.421429,1.292929,0.478571,0.747475,0.942857,1.20202,0.357143,1.050505,0.235714,0.909091,0.328571,0.414141,0.778571,0.858586,0.228571,0.757576,0.135714,0.646465,0.207143,0.10101,0.564286,0.484848,0.171429,0.626263,0.014286,0.727273,-0.035714,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J,0
