x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,-0.020408,0.474747,0.44898,0.929293,1.183673,1.212121,1.734694,1.383838,0.77551,1.0,1.510204,1.555556,1.938776,1.89899,2.244898,2.151515,1.183673,0.767677,2.306122,1.222222,2.959184,1.494949,3.510204,1.686869,1.510204,0.494949,2.55102,0.828283,2.163265,0.747475,1.77551,0.626263,1.77551,0.20202,2.55102,0.494949,2.22449,0.434343,1.877551,0.313131,K
0.0,0.0,-0.080645,0.458716,0.241935,0.917431,0.790323,1.201835,1.241935,1.376147,0.370968,1.0,0.935484,1.53211,1.241935,1.862385,1.483871,2.119266,0.741935,0.798165,1.645161,1.293578,2.177419,1.559633,2.580645,1.752294,1.080645,0.550459,1.951613,0.93578,1.66129,0.816514,1.33871,0.678899,1.370968,0.293578,1.967742,0.623853,1.693548,0.541284,1.419355,0.422018,K
0.0,0.0,-0.071429,0.446429,0.285714,0.875,0.857143,1.178571,1.321429,1.383929,0.339286,1.0,0.910714,1.517857,1.232143,1.848214,1.5,2.107143,0.642857,0.785714,1.696429,1.276786,2.321429,1.5625,2.821429,1.767857,1.0,0.526786,2.035714,0.892857,1.75,0.803571,1.410714,0.678571,1.339286,0.267857,2.089286,0.589286,1.839286,0.526786,1.553571,0.410714,K
0.0,0.0,-0.087719,0.46729,0.315789,0.915888,0.912281,1.196262,1.368421,1.401869,0.333333,1.0,0.947368,1.53271,1.263158,1.869159,1.508772,2.130841,0.649123,0.757009,1.684211,1.261682,2.298246,1.542056,2.807018,1.747664,1.0,0.495327,2.017544,0.878505,1.719298,0.813084,1.350877,0.700935,1.333333,0.233645,2.070175,0.579439,1.789474,0.523364,1.491228,0.420561,K
0.0,0.0,-0.101695,0.468468,0.271186,0.918919,0.847458,1.207207,1.305085,1.405405,0.271186,1.0,0.915254,1.513514,1.220339,1.837838,1.457627,2.099099,0.59322,0.756757,1.610169,1.261261,2.20339,1.531532,2.694915,1.72973,0.932203,0.504505,1.949153,0.90991,1.661017,0.828829,1.322034,0.711712,1.271186,0.261261,2.0,0.603604,1.728814,0.531532,1.440678,0.414414,K
0.0,0.0,-0.092308,0.465517,0.230769,0.87931,0.676923,1.172414,1.030769,1.431034,0.0,1.0,0.584615,1.508621,0.876923,1.836207,1.123077,2.094828,0.276923,0.775862,1.215385,1.284483,1.8,1.551724,2.246154,1.724138,0.646154,0.543103,1.569231,0.887931,1.353846,0.801724,1.046154,0.663793,1.0,0.318966,1.646154,0.603448,1.446154,0.534483,1.2,0.431034,K
0.0,0.0,-0.109375,0.447368,0.203125,0.912281,0.71875,1.254386,1.078125,1.517544,-0.015625,1.0,0.609375,1.54386,0.9375,1.885965,1.203125,2.157895,0.28125,0.77193,1.265625,1.333333,1.84375,1.622807,2.296875,1.824561,0.640625,0.535088,1.671875,0.95614,1.4375,0.859649,1.109375,0.72807,0.984375,0.307018,1.734375,0.657895,1.546875,0.587719,1.25,0.482456,K
0.0,0.0,-0.180556,0.481818,0.083333,0.936364,0.513889,1.245455,0.847222,1.463636,0.152778,1.0,0.472222,1.5,0.666667,1.854545,0.833333,2.118182,0.486111,0.781818,1.125,1.309091,1.527778,1.636364,1.875,1.872727,0.833333,0.545455,1.486111,1.0,1.222222,0.927273,0.958333,0.772727,1.152778,0.3,1.555556,0.7,1.319444,0.645455,1.138889,0.5,K
0.0,0.0,-0.173333,0.464286,0.04,0.892857,0.426667,1.205357,0.733333,1.428571,0.066667,1.0,0.4,1.5,0.573333,1.848214,0.72,2.116071,0.4,0.8125,1.04,1.3125,1.453333,1.625,1.773333,1.848214,0.76,0.616071,1.333333,1.0,1.106667,0.910714,0.893333,0.767857,1.066667,0.401786,1.413333,0.732143,1.213333,0.651786,1.053333,0.535714,K
0.0,0.0,-0.202703,0.458716,0.054054,0.944954,0.472973,1.284404,0.837838,1.522936,0.067568,1.0,0.459459,1.568807,0.675676,1.926606,0.851351,2.201835,0.391892,0.779817,1.108108,1.376147,1.540541,1.678899,1.891892,1.889908,0.743243,0.550459,1.405405,1.045872,1.175676,0.944954,0.932432,0.788991,1.067568,0.311927,1.486486,0.752294,1.283784,0.678899,1.108108,0.53211,K
0.0,0.0,-0.217391,0.477064,0.028986,0.908257,0.434783,1.229358,0.797101,1.440367,0.101449,1.0,0.507246,1.541284,0.710145,1.889908,0.913043,2.155963,0.449275,0.798165,1.173913,1.330275,1.623188,1.633028,1.985507,1.834862,0.797101,0.577982,1.463768,0.990826,1.202899,0.926606,0.927536,0.779817,1.101449,0.366972,1.536232,0.724771,1.318841,0.66055,1.130435,0.53211,K
0.0,0.0,-0.230769,0.436364,-0.046154,0.881818,0.446154,1.190909,0.846154,1.390909,0.215385,1.0,0.6,1.518182,0.830769,1.836364,1.030769,2.081818,0.6,0.809091,1.307692,1.290909,1.738462,1.581818,2.107692,1.772727,0.923077,0.581818,1.6,0.972727,1.307692,0.890909,1.061538,0.745455,1.215385,0.336364,1.661538,0.681818,1.415385,0.618182,1.2,0.481818,K
0.0,0.0,-0.21875,0.449541,0.015625,0.899083,0.53125,1.165138,0.984375,1.311927,0.296875,1.0,0.734375,1.541284,0.984375,1.87156,1.1875,2.119266,0.671875,0.788991,1.4375,1.302752,1.890625,1.587156,2.296875,1.779817,1.015625,0.541284,1.734375,0.963303,1.421875,0.889908,1.125,0.743119,1.296875,0.293578,1.78125,0.678899,1.5,0.614679,1.265625,0.477064,K
0.0,0.0,-0.225806,0.45045,0.0,0.891892,0.516129,1.198198,0.919355,1.396396,0.290323,1.0,0.741935,1.522523,1.016129,1.855856,1.225806,2.099099,0.66129,0.810811,1.483871,1.306306,1.983871,1.585586,2.370968,1.756757,1.016129,0.576577,1.758065,0.936937,1.467742,0.873874,1.177419,0.747748,1.290323,0.324324,1.806452,0.648649,1.548387,0.594595,1.306452,0.468468,K
0.0,0.0,-0.181818,0.477876,0.121212,0.902655,0.560606,1.185841,0.969697,1.415929,0.166667,1.0,0.590909,1.486726,0.818182,1.814159,1.015152,2.061947,0.515152,0.778761,1.272727,1.256637,1.742424,1.539823,2.136364,1.725664,0.863636,0.548673,1.575758,0.929204,1.287879,0.858407,1.015152,0.734513,1.166667,0.309735,1.651515,0.654867,1.409091,0.610619,1.19697,0.486726,K
0.0,0.0,-0.119403,0.495652,0.208955,0.886957,0.641791,1.156522,1.0,1.4,0.164179,1.0,0.61194,1.478261,0.850746,1.782609,1.089552,2.034783,0.492537,0.756522,1.298507,1.234783,1.791045,1.513043,2.208955,1.678261,0.850746,0.504348,1.61194,0.878261,1.343284,0.791304,1.059701,0.652174,1.164179,0.26087,1.686567,0.6,1.432836,0.530435,1.223881,0.408696,K
0.0,0.0,-0.179104,0.436364,0.059701,0.890909,0.522388,1.190909,0.910448,1.390909,0.19403,1.0,0.671642,1.536364,0.940299,1.863636,1.149254,2.109091,0.537313,0.790909,1.343284,1.3,1.820896,1.590909,2.223881,1.772727,0.880597,0.554545,1.61194,0.936364,1.373134,0.836364,1.104478,0.7,1.19403,0.309091,1.686567,0.654545,1.447761,0.572727,1.238806,0.445455,K
0.0,0.0,-0.114754,0.489796,0.213115,0.959184,0.721311,1.255102,1.131148,1.459184,0.278689,1.0,0.754098,1.571429,1.04918,1.928571,1.278689,2.204082,0.590164,0.755102,1.442623,1.336735,1.95082,1.653061,2.344262,1.887755,0.95082,0.5,1.737705,0.979592,1.459016,0.887755,1.163934,0.734694,1.278689,0.255102,1.819672,0.683673,1.557377,0.622449,1.344262,0.479592,K
0.0,0.0,-0.098361,0.484536,0.213115,0.969072,0.770492,1.28866,1.196721,1.494845,0.295082,1.0,0.770492,1.57732,1.065574,1.948454,1.311475,2.226804,0.606557,0.752577,1.442623,1.319588,1.95082,1.659794,2.377049,1.907216,0.967213,0.484536,1.754098,0.979381,1.459016,0.907216,1.147541,0.752577,1.295082,0.226804,1.836066,0.670103,1.57377,0.628866,1.344262,0.494845,K
0.0,0.0,-0.107692,0.471698,0.184615,0.886792,0.630769,1.179245,0.984615,1.386792,0.184615,1.0,0.646154,1.5,0.907692,1.849057,1.138462,2.103774,0.507692,0.811321,1.307692,1.301887,1.815385,1.584906,2.169231,1.773585,0.876923,0.566038,1.615385,0.915094,1.4,0.849057,1.138462,0.735849,1.184615,0.301887,1.692308,0.641509,1.492308,0.575472,1.292308,0.462264,K
